Unnamed: 0,title,link,post_index,date,have_chaolianjie,have_newmedia,have_tupian1yinpin1shipin,is_origin
10,最后2天 | 文化纵横2023年特惠团购仅此一次,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351233&idx=2&sn=4c1ea4f8fe3ca8b60024605fd9e9697c&chksm=8b542cf0bc23a5e6e3384d8a27928be361137f8a5da4831ae54a4b126f55f93e3ab1486c2cde#rd,2,2022/11/7,0,1,1,0
11,"贺雪峰: 当前迫切要纠正的问题, 是中西部县城盲目扩张恶性竞争 | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351208&idx=1&sn=488ae0617462969315ac0906ae43983b&chksm=8b542f19bc23a60fe8e02435082c3dac3e7756b6ad9755b09f34ba999ee2eb60929ce96ecabf#rd,1,2022/11/6,0,1,1,0
12,最后3天 | 文化纵横2023年特惠团购仅此一次,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351208&idx=2&sn=f80a219f62d499f7586898d8360a738d&chksm=8b542f19bc23a60f4ce4c647011fc1ceb21c3d1243bc05134a2247fbe1f1087cfaf435e41def#rd,2,2022/11/6,0,1,1,0
13,"“鄂尔多斯通告”火了, 背后最需救助的4个群体不能再耽误了 | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351198&idx=1&sn=fa70a81a9635b5f67e6d18b86e5ce108&chksm=8b542f2fbc23a639e3df2ab999f86d44bc777cd4edb8fa399bc781d4d74e668aea282028d114#rd,1,2022/11/5,0,1,1,0
14,顶层设计政策频出，金融机构加紧完善个人养老金融服务,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351198&idx=2&sn=b4bc53c71106859a98a7e7fcf821b270&chksm=8b542f2fbc23a6396b638291877b0c0264f7b34754489f04fde7c8d291c66cda866f09a54a38#rd,2,2022/11/5,0,1,1,0
15,最后4天 | 文化纵横2023年特惠团购仅此一次,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351198&idx=3&sn=77237a5ef090a5a4ca61bab105504a59&chksm=8b542f2fbc23a639d6c20c6b9ff50572989bf895c22e3e5cdda79aa071a2314ed78ee528ed07#rd,3,2022/11/5,0,1,1,0
16,"近期两大离谱传言, 为什么有那么多人相信? 一个典型案例的启示 | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351168&idx=1&sn=aa68b264e6612cf36b5850743cdf2101&chksm=8b542f31bc23a627ba35aaa476252739574ecbb512e172795590680c8a953dbd80bf71c0903b#rd,1,2022/11/4,0,1,1,0
17,直播预告 | “时代变局中的法治与治理”学术论坛暨第十一届“法权秩序与中国道路”研讨会议程,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351168&idx=2&sn=0cc079af516e98b673ca076bbc4ae8df&chksm=8b542f31bc23a627868225eaaac9c6de7189caac91eaea9d8c38a2a324ee6267caa6543502bd#rd,2,2022/11/4,0,1,1,0
18,最后5天 | 文化纵横2023年特惠团购仅此一次,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351168&idx=3&sn=ea54d529885c9800424eae7d84e67caa&chksm=8b542f31bc23a62728ad196fa4d1e457f41432886ac46e9e53c9267bc95951d76558752be5b6#rd,3,2022/11/4,0,1,1,0
19,郑州之变另一面: 为什么必须从战略高度保卫中国供应链?| 文化纵横,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351106&idx=1&sn=7eb6e2c3cc0315847c52ae617b74741f&chksm=8b542f73bc23a665c68c057e0248c72d6535fbb9a4f70cc370f946febd422837f0dc7100af4f#rd,1,2022/11/3,0,1,1,0
20,最后6天 | 文化纵横2023年特惠团购仅此一次,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351106&idx=2&sn=7cb989320ec63125c8599fe76f4b889e&chksm=8b542f73bc23a665666e229fcb6f87e64ac6a8be303f1df3bcf7cd0bd063e4cf35736f90920b#rd,2,2022/11/3,0,1,1,0
21,"拉美左翼“再下一城”之际, 如何理解对美国霸权的依附与反抗 | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351101&idx=1&sn=f7932dda36371670afb8e0585fffb269&chksm=8b542f8cbc23a69a66e2288884ae9f3caef500f007cab4c342dbf6e9324d38323356ad15883b#rd,1,2022/11/2,0,1,1,0
22,最后7天 | 文化纵横2023年特惠团购仅此一次,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351101&idx=2&sn=46c6b60da89350ff36b198940b3c8ab5&chksm=8b542f8cbc23a69a33662e53215c010e06a261f66fe046e5b7ec1ccff8a9affe35c451693da7#rd,2,2022/11/2,0,1,1,0
23,郑永年: 中国大学的校庆为何成了对知识的一次次羞辱？| 文化纵横,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351100&idx=1&sn=d1a8fc2f21208423da2faa6061b0d5bc&chksm=8b542f8dbc23a69bd7f708791f8e8c4754db3046336cc664ea4e81f193760e0f6d41b0ce4ba8#rd,1,2022/11/1,0,1,1,0
24,最后8天 | 文化纵横2023年特惠团购仅此一次,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351100&idx=2&sn=da966428932d851ccc0335d493ff0cf3&chksm=8b542f8dbc23a69b0a46f87f66b0c66d93c924b1291f36468bb6a2141fc98e478889fbeafb35#rd,2,2022/11/1,0,1,1,0
25,"440亿收编推特, 马斯克的潜台词很多人都没听懂? | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351044&idx=1&sn=66b4d639e560ecb161254862f6b0dab1&chksm=8b542fb5bc23a6a3903ebffb2262b6a432ebc18ac9ac0133f94b3fde799abbb34bd2b0f9f29a#rd,1,2022/10/31,0,1,1,1
26,最后9天 | 文化纵横2023年特惠团购仅此一次,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351044&idx=2&sn=e8691a46e8243599ede29862c8c2ab9e&chksm=8b542fb5bc23a6a3c36c8bffb49919c07a5a530106fba755eaf79059d68b207cd91f32353ed2#rd,2,2022/10/31,0,1,1,0
27,"韩国特大踩踏事故背后, 还有一个无可回避的紧迫问题 | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351039&idx=1&sn=da24a7e739557195212483bac86183d1&chksm=8b542fcebc23a6d83b3c9533afe60623321b36c79b1993de484402f3d7bab980b1036f5d57fe#rd,1,2022/10/30,0,1,1,0
28,最后10天 | 文化纵横2023年特惠团购仅此一次,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351039&idx=2&sn=4d39e18141c705029a1810de26e24c54&chksm=8b542fcebc23a6d8db8445cecc13990389580485e1a307673d693fc65da9794786054bf11d59#rd,2,2022/10/30,0,1,1,0
29,溃于蚁穴：战时新兴工业强国的初级产品之困 | 文化纵横,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351032&idx=1&sn=6045909dd954688de8cfa52b0f6826d5&chksm=8b542fc9bc23a6df5f7ac20aa06da99d2f10c48272394e61f23ca292bdbe10577ef2f45cdc88#rd,1,,,,,
30,最后10天 | 2023全年仅此一次的超值团购,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351032&idx=2&sn=b820328f9b6f4ca394049913253a9d86&chksm=8b542fc9bc23a6dfda9f6f9df7856740da63e214413989ed5afff10a4bffb2c8f7572e2b70a5#rd,2,2022/10/30,0,1,1,0
31,"最后11天 | 文化纵横2023年超值团购, 全年仅此一次",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351030&idx=2&sn=43a87359fbee03a4298ebe50629d32a0&chksm=8b542fc7bc23a6d18bcb0763d832a94d64bd15d583a555d18942a4b463706ece31f3cf3b3d57#rd,2,2022/10/29,0,1,1,0
32,实力对比的误判: 100年前的案例告诉我们什么? | 文化纵横,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351028&idx=1&sn=0771f995813e6bac13c943e25071704b&chksm=8b542fc5bc23a6d345d73ed92ef35f17a06734102ca7e20a4435d30692d19985abc794daa7af#rd,1,,,,,
33,最后11天 | 2023全年仅此一次的超值团购,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351028&idx=2&sn=322819f01b2df728ce83a4afb55840a6&chksm=8b542fc5bc23a6d314cd3b10a85db34304c8aa9cd6ec6b0578b34140e5e4746e730c2543a89b#rd,2,2022/10/29,0,1,1,0
34,现代大国战争的物质基础: 100年前的案例告诉我们什么? | 文化纵横,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351024&idx=1&sn=fa6e849d634bedc6cbe66e45892e3938&chksm=8b542fc1bc23a6d7fde60a23c4f3c8ff03438886a19fdd01e85caff1ec05bb1c22e297c4c9b2#rd,1,,,,,
35,最后11天 | 2023全年仅此一次的超值团购,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351024&idx=2&sn=a52a21b3645b4d8675eac7bc669b8add&chksm=8b542fc1bc23a6d70412ff432db20883841c8bd189f4530f3c9a4267b82e7a3adb10bf024e4e#rd,2,2022/10/29,0,1,1,0
36,"未来十年, 新兴工业强国可能存在哪些致命短板? | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351012&idx=1&sn=1c5f41589243ce213e1013a5df92ae28&chksm=8b542fd5bc23a6c3a914392e5a242596db0afa34eae44c8cf3b1804e6e888183265e6bc351fe#rd,1,,,,,
37,最后11天 | 2023全年仅此一次的超值团购,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351012&idx=2&sn=7504b8cbe98b0edd199d7121cf9b0b3b&chksm=8b542fd5bc23a6c3560f060cb4f0d4f9157ae1b7fb10428233c1c94aceba469f48e47a9114b9#rd,2,2022/10/29,0,1,1,0
38,"面膜战争风险, 新兴工业强国可能存在哪些致命短板? | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351010&idx=1&sn=58c6fd3f88e6e867f40846911ea91bee&chksm=8b542fd3bc23a6c5676d4164b8261f039b707b10c54ffca2d773755716569206ec7330f38544#rd,1,,,,,
39,最后11天 | 2023全年仅此一次的超值团购,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664351010&idx=2&sn=8fce4dfe0a893c984e75b180822a6aad&chksm=8b542fd3bc23a6c53d242e97da09bd1d741f5c3a170fc1911f06a88b7078b2a232d0ba83c783#rd,2,2022/10/29,0,1,1,0
40,"“我以为中企拿下汉堡港很难得, 不想背后还有一场更惊人的布局” | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350960&idx=1&sn=7047f06856695c9a50082fe18ccfc1ec&chksm=8b542e01bc23a717404aea09e4cbd98ebf38c9bfd5bf27eb9a9654f9a20ad89331872bbada85#rd,1,2022/10/28,0,1,1,0
41,"最后12天 | 文化纵横2023年超值团购, 全年仅此一次",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350960&idx=2&sn=7698047be4e0dd6e4a91ad9ba558e22d&chksm=8b542e01bc23a7178a55b3ed5cfee5e8040ba092ebb121c0982eeb2b4b689d6414aaedf72808#rd,2,2022/10/28,0,1,1,0
42,“不尽官帽滚滚来”: 如何理解唐宋时期的官员级别与官本位文化的形成? | 文化纵横,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350928&idx=1&sn=c862ea16fd46857aab2ffc5660b9ca1d&chksm=8b542e21bc23a737297061f4d11a941003fdf9a31967362a6e0a976e3e938f54b18f6ec20859#rd,1,2022/10/27,0,1,1,0
43,"最后13天 | 文化纵横2023年超值团购, 全年仅此一次",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350928&idx=2&sn=264b21256f3ae312814dbe3ff8e730b5&chksm=8b542e21bc23a7376fa32727cc84fcb3d0bddbe25f772e11110f6072ba0064691930ed82c30b#rd,2,2022/10/27,0,1,1,0
44,"《底线》爆红, 真正困扰我国法官的一个难题浮出水面 | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350920&idx=1&sn=0cc252821f81da0d2f46b89bd956f0c6&chksm=8b542e39bc23a72f62ae049c46a97dc9b89c483f4b062d918ef75ae7e2c973db214aadbd0e03#rd,1,2022/10/26,0,1,1,0
45,最后14天 | 文化纵横2023年预订团购开启,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350920&idx=2&sn=86c662d805d886de23aae0c92d32bc27&chksm=8b542e39bc23a72feadaf344de850319ad8cff102ea5cd088add5548abfab235a2654d5597f2#rd,2,2022/10/26,0,1,1,0
46,"越南、印度、墨西哥, 谁在真正挑战中国的世界工厂地位? | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350902&idx=1&sn=f0bc13757185bdf0395efb86102557ce&chksm=8b542e47bc23a75168be5e8f5eeacacfa23662999562b43adbbc31ddb2f40f71ca1e78df857a#rd,1,2022/10/25,0,1,1,0
47,最后15天 | 文化纵横2023年特惠团购仅此一次,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350902&idx=2&sn=0514a118238a212782f9ba5ea04e037f&chksm=8b542e47bc23a7510514545de3f84d9f8fb4145301d73cb02b7f9372d89d2a6038e4797da304#rd,2,2022/10/25,0,1,1,0
48,"美国中期选战前夜, 谁能料到“城乡结合部”会成为缠斗关键 | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350892&idx=1&sn=266772d807bae526e53fa0ea3d600d21&chksm=8b542e5dbc23a74b04594ff631c7fd74f43075fa31d09921fbd8f78dbbbca36af40a9e886fab#rd,1,2022/10/24,0,1,1,0
49,文化纵横读者请加微信，领取您的专属礼遇,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350892&idx=2&sn=6cbf8aae9150d77c982062f31c8b55b8&chksm=8b542e5dbc23a74bd39a043105876c01c715fb733d835c117c599d43ab1c4e9869a05969484c#rd,2,2022/10/24,0,1,1,0
50,温铁军: 我们这一代中国人到底要什么?｜文化纵横,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350851&idx=1&sn=5505b6c2c301f6aad997adcfac026eb7&chksm=8b542e72bc23a764b423ca04d75ecbc1c5c80e845ece6a188f2cb5f0c7a119550a83133d4162#rd,1,2022/10/23,0,1,1,0
51,"他不仅是美国制华的幕后推手, 更是当年拖垮苏联的幕后功臣｜文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350851&idx=2&sn=6d02ab85a24b5694641954a7f721fa99&chksm=8b542e72bc23a7645f99c4a7b1e08f3742338ea71195cb8a2b23ef545da079c10edaab3cd3a8#rd,2,2022/10/23,0,1,1,0
52,"“我们的就业数据, 正呈现一个出人意料的变化”: 社科院智囊的提醒 | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350839&idx=1&sn=f1df9390a3e52818cb133dcb8d1b0cfa&chksm=8b542e86bc23a790267c5dce6858cddd5b7e64df1a8c5235a191b316c841ae442bc58769e1a5#rd,1,2022/10/22,0,1,1,0
53,洞见社会、理解中国的必备资料｜2023年征订开启,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350839&idx=2&sn=d7ade0503a28b50664b885590d5a48fd&chksm=8b542e86bc23a7905ea1e924f4a546fbd6d7c7070a41aeaee2b9a9ac63a66bb5711e5869797c#rd,2,2022/10/22,0,1,1,0
54,吴晓明：世界历史与中国式现代化｜文化纵横,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350737&idx=1&sn=094689c83550175feb4d3fac04e6ce7f&chksm=8b542ee0bc23a7f6cb00fecfb1c8006b983cff93d993f155135c3cb449bed1d2a6746ac82360#rd,1,2022/10/21,0,1,1,0
55,"45天下台的特拉斯, 触犯了英国心照不宣的一条路线｜文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350737&idx=2&sn=05cf06f4d24d384ef121510fc70365eb&chksm=8b542ee0bc23a7f64878afc800588a46ebbbb222c402f374c70c8a80e8afd1cc8477fb247ec9#rd,2,2022/10/21,0,1,1,0
56,"“都知道是差稿, 为什么还抢着发?” 一份中国新闻业“流量锦标赛”深度调查 | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350685&idx=1&sn=b1e5ef219c21d7296fc7dcb986407d8b&chksm=8b54292cbc23a03a355347f1a7dd27bb4566eb384fa7609b03d2215a3eb248487783ab8bbd8e#rd,1,2022/10/20,0,1,1,0
57,"为什么中美两国舆论, 同时把矛头对准了“文科生”? | 文化纵横热文榜·9月",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350685&idx=2&sn=610eb233c7fb79459029bdf43ebd52cb&chksm=8b54292cbc23a03ad7c5192d2ec47a0672a120d5a6f86990befb02a4c52144095d41a10cfc6e#rd,2,2022/10/20,0,1,1,1
58,"大陆反复强调不称霸, 美国为何还不断打压? 一位台教授的深思｜文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350647&idx=1&sn=3801b56ad9c831028e7b5717ee1ce8b8&chksm=8b542946bc23a05099be2c16181fed546a79d60044d14eae1428aea0f3a5aa00673b48218cc2#rd,1,2022/10/19,0,1,1,1
59,娱乐至极的年代，惟有思想不可降级,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350647&idx=2&sn=4a9593faf023bcbe412b028d0f93a70e&chksm=8b542946bc23a0507e29427ac7f4617fba137be5dcf44b5824886078e0395edbd6f7a3442c26#rd,2,2022/10/19,0,1,1,0
60,"哲学家的究问: “中国式现代化指向的人类文明新形态, 到底新在哪里?” | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350627&idx=1&sn=fc7b5c3d9899508c6a06a8fb09dd3224&chksm=8b542952bc23a044c04e8f6725042f8fea7fe08d7896a0094108391b5f42e5f3f38718b5108a#rd,1,2022/10/18,0,1,1,1
61,2023《文化纵横》预订 | 超值团购仅此一次,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350627&idx=2&sn=023f86f43efa9218a13caa0c167b9411&chksm=8b542952bc23a044bc4b9afd36adc1587ccc724d7ce2068885327cc4ffb424fefd64354c58bf#rd,2,2022/10/18,0,1,1,0
62,葛兆光: 什么地方才最深刻地表现中国特色? | 文化纵横,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350626&idx=1&sn=0562b2ae186e7182f6b63d41c2d06775&chksm=8b542953bc23a045ad4fab82648a8869d9bcb78fa2bbf28620eaff719c8a20f9242a3531f200#rd,1,2022/10/17,0,1,1,0
63,从历史和现实的脉络里，探寻中国发展的道路,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350626&idx=2&sn=8a8c63fe1e8c980dd5cb352a73346fc1&chksm=8b542953bc23a0450fd9e0c310b6649eeeb8c334843ed2dd1ed05b73c756a2ccadb6313c2d55#rd,2,2022/10/17,0,1,1,0
64,"史上最强芯片封锁降临, 中国半导体如何冲破“铁幕”? | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350604&idx=1&sn=72fa9cf7ac507176305db7bc9ae52ab0&chksm=8b54297dbc23a06b4887542ea401c5f7b864973cd55bfb6a74c26c55952a34617bba96d224a9#rd,1,2022/10/16,0,1,1,0
65,"高度碎片化的时代, 深度思考反而成为一种稀缺",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350604&idx=2&sn=f75cc11bd6774bb1037bff7285d053bd&chksm=8b54297dbc23a06b9bc4d1cdd758223feb80fb1abae2ad620d90d71cc7b929e2736f7ee4a45a#rd,2,2022/10/16,0,1,1,0
66,"昨天全网赞叹的女数学家, 还侧面凸显一个微妙道理｜文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350576&idx=1&sn=5cc661d36bd4127586043611c0461ada&chksm=8b542981bc23a097d9dc16181d6a1947bf558072575ddbbdd7106d2a1cbbb28c85d5f19d9ed5#rd,1,2022/10/15,0,1,1,0
67,文化纵横2023年征订开启｜现在订阅享超值团购价,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350576&idx=2&sn=f301494e220b8b617706091739dc9516&chksm=8b542981bc23a097c33fac2f7047936be2c8a4f47b4505dedcf28da98e995b8b31976f2e15a3#rd,2,2022/10/15,0,1,1,0
68,"项飙: 这代年轻人如此抗拒“重复性”, 实在是另有隐情 | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350538&idx=1&sn=153fa0bcacc81d24ac2621bb6568420c&chksm=8b5429bbbc23a0ad5f439f6ba74ba4a42173b94a644d2686d87c66ec0c8056a134a42eeb1ac6#rd,1,2022/10/14,0,1,1,0
69,"“我们深信不疑的脱钩论, 是假的?” 一位美国后浪的清醒思考 | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350538&idx=2&sn=272f4257d0928eed1b08f47a0f619d99&chksm=8b5429bbbc23a0adcbc0283c670af1b2ed111f4d6ebdf85e217413fb1f350aa9c660cedf4671#rd,2,2022/10/14,0,1,1,0
70,“诺奖者因考核被中国大学辞退”系谬传? 真相或许更残酷 | 文化纵横,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350504&idx=1&sn=852149ebc860f6c5ee693d5ff6458662&chksm=8b5429d9bc23a0cfae88efb1e4b16e7849ed4dad93cee8450c4845d6feb8b07738c0ace532a5#rd,1,2022/10/13,0,1,1,0
71,世界的中国焦虑，与中国的世界焦虑，怎么破？,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350504&idx=2&sn=44ff1fc6fed7a56cf4ae7028ceac531f&chksm=8b5429d9bc23a0cf4cd7e80440eec8512f12c68f07f8f9e9481e6cdff8819cd71e143f4e69b6#rd,2,2022/10/13,0,1,1,0
72,"近20年来欧美最抢眼的一股势力, 眼下为何非要盯住中国? | 文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350488&idx=1&sn=7bbce642fc91d8a5c8962e06378aae55&chksm=8b5429e9bc23a0fff2549591787f1136facb607a7be93c8c531b4a213fe2ad2d14f9ff05daeb#rd,1,2022/10/12,0,1,1,0
73,发现让自己真正“沉淀”的机会,http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350488&idx=2&sn=893df7d0890bccc8d413639d441e3c37&chksm=8b5429e9bc23a0ff8b23531deb201f7f26e96866a92f60eb281db2e5a61c7873ab4183786293#rd,2,2022/10/12,0,1,1,0
74,"刚获诺奖的美联储前主席, 对中国有一个很重的判断｜文化纵横",http://mp.weixin.qq.com/s?__biz=MzA5MjM2NDcwMg==&mid=2664350468&idx=1&sn=7a6a7d2520e472459a273ae9715eb26b&chksm=8b5429f5bc23a0e30c9cbabf03dd62203e7ec147d94ad111e3008f3323ab429e392d8fdba9ca#rd,1,2022/10/11,0,1,1,0
