Unnamed: 0,title,link,post_index,date,have_chaolianjie,have_newmedia,have_tupian1yinpin1shipin,is_origin,read_num,like_num,old_like_num,content
37,中州学刊•观点 |徐涤宇 王振宇•平台服务协议行政规制的检视与完善,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572177&idx=1&sn=4d1b90bd7b3289bcf9e681abf99eba3a&chksm=8491671fb3e6ee09e96a8c0a040663a65898a269bbfea5cb89ce856c858e597b9b3e8b8f6079#rd,1,2022-8-26,0.0,1.0,1.0,0.0,,,,
38,中州学刊•观点 |王孝华 刘晓东•渤海德里府、德理镇与边州军镇设防问题考,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572175&idx=1&sn=c203df0a313966310df2a2758401bbab&chksm=84916701b3e6ee17d89fa621ecf4c3cf3a4c6699dcfae42d89141b6bd4f0cf851c6636568d18#rd,1,2022-8-25,0.0,1.0,1.0,0.0,,,,
39,中州学刊•观点 |李永宁 张隽•政策环境影响评价的理论证成与完善路径,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572174&idx=1&sn=2a261b9a2697ffec4f71ec81befadd26&chksm=84916700b3e6ee167e5dd9f3d0e865883b18cab613cb194cb083881f17670ed027509a024374#rd,1,2022-8-24,0.0,1.0,1.0,0.0,,,,
40,中州学刊•观点 |刘全波 朱国立•四海同寒食：唐宋时期敦煌佛教寺院中的寒食节,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572165&idx=1&sn=84cfa58b24e3e1dbe01dc52f570fe92e&chksm=8491670bb3e6ee1dfb162ab2963df9b4a49bb0de9ca0a4de1e6f8cd1ba3413385b9d906b53a8#rd,1,2022-8-23,0.0,1.0,1.0,0.0,,,,
41,中州学刊•观点 |谢玲红 张琛 郭军•“无人种地”问题再辨析,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572146&idx=1&sn=1d11fd00f619505eeacc34f3c9c67b1c&chksm=8491677cb3e6ee6a605aef06410080064e79fd67e6e60183d69a2b0af381873039f2a3bb8549#rd,1,2022-8-22,0.0,1.0,1.0,0.0,,,,
42,中州学刊•发布 |《中州学刊》启事,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572138&idx=1&sn=ea101ca4b74221df5d2dfde1fd1e582e&chksm=84916764b3e6ee72155f73c9558717aae497bdae1c4b5c492545b6d75bf36f006d6c5591cd44#rd,1,2022-8-19,0.0,1.0,1.0,0.0,,,,
43,中州学刊•发布 |《中州学刊》地址更换,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572138&idx=2&sn=d77028ceaf814fb7954cee9e35b5bdd3&chksm=84916764b3e6ee72dd83a05c67534becd758ebe725ef454412d7178a25cf8dec23b30a482cc0#rd,2,2022-8-19,0.0,1.0,1.0,0.0,,,,
44,中州学刊•观点 |李卫东•数字组织的概念、构成要素与元宇宙结构分析,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572116&idx=1&sn=b76be9ffd1674d6b6263553b557f81a6&chksm=8491675ab3e6ee4c3fd0176d66a896aa6eb932c1e161dce688427f894651cef91c72c4f3547b#rd,1,2022-8-18,0.0,1.0,1.0,0.0,,,,
45,中州学刊•观点 |迟福林 郭达•统筹粮食安全与发展问题研究,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572106&idx=1&sn=264cd7a694eb58e6942ead8f72f2e348&chksm=84916744b3e6ee52963618dcf5c7120fded679d9c1d3f4f20bf4f3054a5027cd3f3ec9e66e79#rd,1,2022-8-17,0.0,1.0,1.0,0.0,,,,
46,中州学刊•观点 |周耀东  王思源•金融发展提升劳动收入份额的机制与路径研究,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572089&idx=1&sn=9c578be9507eb9e12e6f2990aaff373d&chksm=849167b7b3e6eea14f8433b727e269b0b9bf67b7ea62cd26b35320b21bfc26fb02b15879e83c#rd,1,2022-8-16,0.0,1.0,1.0,0.0,,,,
47,中州学刊•观点 |杜保瑞  张雅迪•冯友兰对中国形上学论辩的方法论解析,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572078&idx=1&sn=e3e914b8d8d2ec65ef8a2a2d0c66e4ff&chksm=849167a0b3e6eeb61a28bb4d1c862983ff43727dcfee54dca5251c5bc7c05c8b77432e774076#rd,1,2022-8-15,0.0,1.0,1.0,0.0,,,,
48,中州学刊•观点 |郭红军•习近平关于发展全过程人民民主的重要论述及其重大价值,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572071&idx=1&sn=eec024346257c38ffcffe05371cf1c86&chksm=849167a9b3e6eebf15d50b283b3bab5ac26b66e35b4c2798868a53dad3e64391ccad91561628#rd,1,2022-8-12,0.0,1.0,1.0,0.0,,,,
49,中州学刊•观点 |肖 峰•脑机接口技术的伦理难题与应循原则,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572070&idx=1&sn=47785db81768d808c0d32c50620a42f3&chksm=849167a8b3e6eebe719d3ff161b5bb00887e1c7b1d058eea5aa721c49747a116dfd1b21bf665#rd,1,2022-8-11,0.0,1.0,1.0,0.0,,,,
50,中州学刊•观点 |王新清 高 林•坚持抓住“关键少数”的法理底蕴与实践导向,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572052&idx=1&sn=130d1e560e84079c514b3419a612882f&chksm=8491679ab3e6ee8cd17caf237001ff702bcbc4c36e3ead33ac250078caed05a39d3d08eb1a97#rd,1,2022-8-9,0.0,1.0,1.0,0.0,,,,
51,中州学刊•目录 | 2022年第7期目录,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572038&idx=1&sn=32388a70e19847c1051a4ab654ed9749&chksm=84916788b3e6ee9ec5ade288e405e1659ef2f1a6422610bf022aea6a931b156c92808a56ae19#rd,1,2022-8-8,0.0,1.0,1.0,0.0,,,,
52,中州学刊•观点 |焦国成•孔子“仁者寿”发微,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572028&idx=1&sn=be78f07cb91636cf903038c3d09f657c&chksm=849167f2b3e6eee40d30ed6d7159d2335903729d1577dbfedfe0ea983700bba2f8eaff0feb69#rd,1,2022-7-19,0.0,1.0,1.0,0.0,,,,
53,中州学刊•目录 | 2022年第6期目录,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572015&idx=1&sn=8fba009ff234df21cfac2cfa725981e3&chksm=849167e1b3e6eef71f2938980eefcfba493b5f08be8fedb25ad8127b15895a00093a60612466#rd,1,2022-7-1,0.0,1.0,1.0,0.0,,,,
54,中州学刊•观点 |宋朝丽•中国近代慈善义演的价值构建与逻辑表达,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572005&idx=1&sn=5999ac6948b91f80b01a619e58f3adc5&chksm=849167ebb3e6eefdcd7ed07953c6e47e2c911de465f4097528a0c96803f88e2dff6c4c2b2190#rd,1,2022-6-17,0.0,1.0,1.0,0.0,,,,
55,中州学刊•观点 |乔凤岐•禹都阳城地望再论,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655572004&idx=1&sn=c3aa99d690751609cd0bc306603a5f76&chksm=849167eab3e6eefc640450dcb7cc43c9c6c38e69ddfeb08f7da975781f168f78414cdff4e713#rd,1,2022-6-16,0.0,1.0,1.0,0.0,,,,
56,中州学刊•观点 |付佳、赵树旺•从文本盗猎到文本围猎：参与式文化空间的建构,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655571999&idx=1&sn=124ff57ed778e9dc98f1e60dc2ac5974&chksm=849167d1b3e6eec772451d088f4592f1241922fd07423d27c9f6bc2b5219ce1267a29b42df9a#rd,1,2022-6-15,0.0,1.0,1.0,0.0,,,,
57,中州学刊•观点 |郑达威、施宇•从“人禽之辨”到“人机之辨”：元宇宙的传播伦理学研究,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655571990&idx=1&sn=60a8abf2e0998ccad13466626bc1d7db&chksm=849167d8b3e6eece46337eafe33a3758306c647be2252b663c38d1c2d2d19cf08fdd09a43904#rd,1,2022-6-13,0.0,1.0,1.0,0.0,,,,
58,中州学刊•目录 | 2022年第5期目录,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655571973&idx=1&sn=055818777d11f4d38fe04ac19583c231&chksm=849167cbb3e6eeddecb591fb30fe398620fb1f28767d2e3217f4f7bc12492bf41d6c3cc186f0#rd,1,2022-5-31,0.0,1.0,1.0,0.0,,,,
59,中州学刊•观点 |高鸣、张哲晰•新时代走出“谁来种粮”困局的思路和对策,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655571964&idx=1&sn=f3ddc631e5ff41d4e375e4873695020b&chksm=84917832b3e6f124be18239fb49a0a1324deba713768c5097e1ebd81edd74accac7412df0079#rd,1,2022-5-14,0.0,1.0,1.0,0.0,,,,
60,中州学刊•观点 |高 强•农业高质量发展：内涵特征、障碍因素与路径选择,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655571963&idx=1&sn=754821d85deb2cebdfa0d7c7b3009d50&chksm=84917835b3e6f123e795e4ef605179130da88c611d39c2d166b6875fe8cbf51958142323eb7b#rd,1,2022-5-13,0.0,1.0,1.0,0.0,,,,
61,中州学刊•观点 |李石•共同富裕与税收公平——亚当•斯密与罗尔斯税制理论的当代启示,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655571949&idx=1&sn=a49fcc355313a68932833c9b07999f65&chksm=84917823b3e6f135cbdc23e0ab7eb96f5d65afbd1cc7add1b92a5ab916f58259c939a3dce354#rd,1,2022-4-29,0.0,1.0,1.0,0.0,,,,
62,中州学刊•观点 |左高山  赵琦•论相对剥夺与共同富裕的关系,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655571949&idx=2&sn=5693ba320f14959edf27c445a489eb7c&chksm=84917823b3e6f135834c32492f76088a1da88c6b8544a25f2e6b9ded5f33d856b055fbfa89d6#rd,2,2022-4-29,0.0,1.0,1.0,0.0,,,,
63,中州学刊•观点 |靳凤林•全球正义与权力、资本、劳动的国际伦理冲突——以《棉花帝国》的历史叙事逻辑为例,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655571940&idx=1&sn=21eda03b5fc5bba88a143550eb071412&chksm=8491782ab3e6f13c6918de23c3ca27800858747f17981f31c90c49929b61c244cd8df846ea68#rd,1,2022-4-28,0.0,1.0,1.0,0.0,,,,
64,中州学刊•目录 | 2022年第4期目录,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655571935&idx=1&sn=9bcb8db553817be80c2f08e7ddcd5a58&chksm=84917811b3e6f1074b360ab1947f23ad81b4bad89479f838ea82431c4c87a641cdf0ccffede3#rd,1,2022-4-25,0.0,1.0,1.0,0.0,,,,
65,中州学刊•目录 | 2022年第3期目录,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655571917&idx=1&sn=2904fbb2b87550a0dd7e266ee4ed8beb&chksm=84917803b3e6f115fdd3ada782d19c09419d961afa6d206151f8b09302ff2ba4c759d4592244#rd,1,2022-4-6,0.0,1.0,1.0,0.0,,,,
66,中州学刊•观点 |邓晓芒•道家实践形而上学的深化——向秀《庄子注》探微,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655571897&idx=1&sn=0cab9e1dc2845f5f8df7b1ee801a8292&chksm=84917877b3e6f1616b26e20d73fde153f7bb90fe2d807eb4d5ba496d44d739aeb2cf5f6f3ce9#rd,1,2022-4-2,0.0,1.0,1.0,0.0,,,,
67,中州学刊•观点 |张超•自动化事实核查的算法逻辑、内生性风险及其规避,http://mp.weixin.qq.com/s?__biz=MzA3MTQ2NzY4MQ==&mid=2655571891&idx=1&sn=69b3516f82136cabb52dc4186eda1677&chksm=8491787db3e6f16be1ee0ce1804033d109feb4107d4f6b6acf8bb02d6f42de7a2995e415a8fe#rd,1,2022-3-29,0.0,1.0,1.0,0.0,,,,
