index,title,link,date,have_chaolianjie,have_cankaolaiyuan,have_tupian1yinpin1shipin,is_origin,read_num,like_num,old_like_num,content_num,contents,contents_countries,content_provinces,post_index,have_newmedia,lis_content,lis_content_like_num,lis_auther_reply,lis_auther_like_num
38,刘国新 彭启福 | 马克思“族性”维度下的民族主义批判及其当代启示,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488953&idx=2&sn=0308f211cd7c0ca0234d1dba6033afad&chksm=97ea094da09d805b88c2c0f3f2b8647e7b2f38bf7200a7eb81da75211587a3e4555fb70087e9#rd,2022-8-17,0.0,,1.0,0.0,168.0,0.0,2.0,,,,,2,1.0,,,,
39,马宝民 | 清末民初北京歌谣的地理叙事,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488953&idx=3&sn=1b3e2b9d22e88e39ac5f5d1432936657&chksm=97ea094da09d805ba37357f398da9a6dd9aeef4cb0b5864b5875253a64f04b5c826d370eb707#rd,2022-8-17,0.0,,1.0,0.0,139.0,0.0,0.0,,,,,3,1.0,,,,
40,肖笛 | 中国当代小说海外译介与传播的特点、问题及策略,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488953&idx=4&sn=0005825fdbce91141af2e3af176e4e79&chksm=97ea094da09d805be57ad679697395b8150ffd4b7fddf0979da046bc3cd15e7ffb984716716e#rd,2022-8-17,0.0,,1.0,0.0,65.0,0.0,0.0,,,,,4,1.0,,,,
41,丁俊 | 唐前期营州事件与河北三层防御体系构建,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488953&idx=5&sn=0e18b55b8390086663d0318bb713dfe2&chksm=97ea094da09d805b6ab8072c2cad45a06e0111c0fdb27318b1bf93206f3794a44eea715c59cd#rd,2022-8-17,0.0,,1.0,0.0,78.0,0.0,0.0,,,,,5,1.0,,,,
42,征稿启事,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488941&idx=1&sn=9052704b78df2e73d086a4046ea405f7&chksm=97ea0959a09d804fa1208107ca8b142087d6a0b0055edfb614999132ba61bcecc6f4b0776bea#rd,2022-8-8,0.0,,1.0,0.0,2487.0,0.0,1.0,,,,,1,1.0,,,,
43,2022年第7期目录,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488934&idx=1&sn=826b2ddbab25e360d9c540a230de83fa&chksm=97ea0952a09d8044596cced5d8ca30e0013e6a15e8c889287704662e2add51147efefeb9de57#rd,2022-7-27,0.0,,1.0,0.0,3186.0,1.0,6.0,,,,,1,1.0,,,,
44,征稿启事,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488926&idx=1&sn=1cd13940a99f1068df249bcb1fb0f526&chksm=97ea096aa09d807ccb0a8deb6c35bea3e48451394265eaaa835145e2d51e05fe97224640374b#rd,2022-7-20,0.0,,1.0,0.0,3094.0,2.0,5.0,,,,,1,1.0,,,,
45,刘双阳 | 论数据处理者的重要数据安全保护义务及刑事责任,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488924&idx=1&sn=cb37a17fccee20b30a9cb936d8b22887&chksm=97ea0968a09d807ebe19d98ad242c16841ce7396aa1d241fae3274c2bf7c1f64a97bae56e760#rd,2022-7-13,0.0,,1.0,0.0,685.0,0.0,3.0,,,,,1,1.0,,,,
46,邢中先 | 乡村产业振兴应对多重堕距现象的核心思路,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488924&idx=2&sn=0e0665daa0d73a67b4ef5c94ce6d2bb1&chksm=97ea0968a09d807ea98c223b3145e6a45ae9b29defb0d55decdee8364f3edad3b30262a538e5#rd,2022-7-13,0.0,,1.0,0.0,198.0,0.0,2.0,,,,,2,1.0,,,,
47,文丰安 | 新型城镇化建设中的问题与实现路径,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488924&idx=3&sn=4eb7be57074d0b0b4de237fa8f0596c9&chksm=97ea0968a09d807ec80fb55d99620da9f686e401bff2d13b3c875956fe508bc3e67c5aad5cb6#rd,2022-7-13,0.0,,1.0,0.0,145.0,0.0,1.0,,,,,3,1.0,,,,
48,黄增付 | 农民与企业博弈问题及其破解,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488924&idx=4&sn=809fb14ad94ba10639959adeb869ab68&chksm=97ea0968a09d807ee9bb7c406443ce2efb69fc11788e558497591826cdb6c0d119cabb734716#rd,2022-7-13,0.0,,1.0,0.0,57.0,1.0,1.0,,,,,4,1.0,,,,
49,毛文璐 | 市域社会治理现代化的体系建构与推进路径,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488924&idx=5&sn=54b9d0313706a02ab2b8226a5b96ab6a&chksm=97ea0968a09d807e24e783f42c63e9939504a56fd3f97625403179c3b75630cf90b03e6f529c#rd,2022-7-13,0.0,,1.0,0.0,115.0,2.0,4.0,,,,,5,1.0,,,,
50,马云志 赵荣锋 | 党的百年探索视阈下现代化与现代性的互动关系,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488912&idx=1&sn=b24740f654df98fb1ffe9c3afdde4b7b&chksm=97ea0964a09d8072fe6d281594a4c55a3276424f305ab6c78cb67ff91c030b324043a0f5ac6b#rd,2022-7-6,0.0,,1.0,0.0,297.0,1.0,1.0,,,,,1,1.0,,,,
51,丁晓强 王连杰 | 马克思主义中国化初始发展的三重逻辑 ——基于中共一大、二大期间党的重要文献,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488912&idx=2&sn=03ac932b6ecf059e382405eec181106c&chksm=97ea0964a09d8072c0c31f51705afb6c91ab00133bafa343343abbf1a66b262f02deb73f2827#rd,2022-7-6,0.0,,1.0,0.0,328.0,0.0,3.0,,,,,2,1.0,,,,
52,靳也 | “两区”建设背景下北京市法律服务市场的对外开放,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488912&idx=3&sn=d764e653bfe771ee76db367edccaa572&chksm=97ea0964a09d8072058775559195fa045b2098e6b47c5af528a10ceec4edd1149d664a9d06ea#rd,2022-7-6,0.0,,1.0,0.0,75.0,0.0,2.0,,,,,3,1.0,,,,
53,杨乐怡 马小红 | 北京市基层公共图书馆的大众评价与创新路径,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488912&idx=4&sn=b888fee34edae6e42f09a3f0b794ac86&chksm=97ea0964a09d807258c4e53d57962e866fe733d071dc4cbefbe587e5e125ff1f2987c3be0d39#rd,2022-7-6,0.0,,1.0,0.0,76.0,0.0,0.0,,,,,4,1.0,,,,
54,苗江磊 | 由近出汉简论《庄子》拟托古圣先贤人物故事,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488912&idx=5&sn=7f5e9fac126ef7145c6180541d3dd89a&chksm=97ea0964a09d807245b4bfd2a4f47e37053f2d565a06534c170634b668831c59a01837cf7da1#rd,2022-7-6,0.0,,1.0,0.0,237.0,2.0,2.0,,,,,5,1.0,,,,
55,王磊 | 晚清东北双城堡旗人婚姻行为特征与变化,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488912&idx=6&sn=bbd3201594720c98861f57b81e3ed799&chksm=97ea0964a09d80727bb9b2b384cbd0af0bc05513787cc678edf57a02075e8c3ee813bd79a7fc#rd,2022-7-6,0.0,,1.0,0.0,108.0,1.0,0.0,,,,,6,1.0,,,,
56,王甦 | 从主体间性到语境性：数字时代的艺术转型,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488912&idx=7&sn=5d2d1ad3a9d4f8191b43b558902a7168&chksm=97ea0964a09d8072372b267cce6842a892e785d4ed236445de4adb9f903b813c2f86c0d08091#rd,2022-7-6,0.0,,1.0,0.0,116.0,3.0,5.0,,,,,7,1.0,,,,
57,征稿启事,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488896&idx=1&sn=98379cf053580bfd460b1e4939bce032&chksm=97ea0974a09d806299f7e0bd519feeecc6e9a6e7e123907831887004134de75a09f4443a0491#rd,2022-6-29,0.0,,1.0,0.0,3714.0,1.0,3.0,,,,,1,1.0,,,,
58,2022年第6期目录,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488890&idx=1&sn=7fd61deb4e6da4b39581fc050b7d2d88&chksm=97ea098ea09d809864798484bfd28be64fd7ad99110f57eef9da9a0502089bddf9a58a4a3fa5#rd,2022-6-22,0.0,,1.0,0.0,3430.0,3.0,6.0,,,,,1,1.0,,,,
59,李泓江 | 数字时代生活世界的殖民化困境与人的存在危机,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488882&idx=1&sn=97e630f9d8f2c60046c14ddbc956cfac&chksm=97ea0986a09d8090971f2e8dca48502e4fa158e563cd799c1b01a0fca7bf4b803f5c7d99380a#rd,2022-6-17,0.0,,1.0,0.0,332.0,0.0,4.0,,,,,1,1.0,,,,
60,张小丽 | 20世纪上半叶教育学科在中国图书分类法中的变迁,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488882&idx=2&sn=2aef71e2580337fd6d71032d9b68846b&chksm=97ea0986a09d809015a3c2a1ec31a9809945890fa6f25f68ccae2899c321fd6b56542d8097c9#rd,2022-6-17,0.0,,1.0,0.0,144.0,1.0,3.0,,,,,2,1.0,,,,
61,张卫国 张威 | 方言能力与流动人口婚姻匹配,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488882&idx=3&sn=11845fd92f237a4a0dc0efcb0f737f3b&chksm=97ea0986a09d8090d8e40c053777b2b253c790f5db1f301ea00772dd8d245ad1d72c6305f303#rd,2022-6-17,0.0,,1.0,0.0,121.0,0.0,1.0,,,,,3,1.0,,,,
62,冯嘉馨 程美东 | 脱贫攻坚中第一书记制度的实践困境及改进,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488882&idx=4&sn=2b8ab87d3dd8ca7c7a509f67047f9bac&chksm=97ea0986a09d8090769696fbc15c97a6b4ae7bb091b74bf73793153480441f061760e5624161#rd,2022-6-17,0.0,,1.0,0.0,178.0,1.0,0.0,,,,,4,1.0,,,,
63,李爱龙 | 唯物史观视阈下的文明图景及其实践逻辑,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488881&idx=1&sn=f9984ddd469b3bee710c9f7422f4cd83&chksm=97ea0985a09d809324a23f2e6effbe2cf1fd84b204bd62f2cf77f8bb1e46c634e3f451825929#rd,2022-6-13,0.0,,1.0,0.0,311.0,0.0,1.0,,,,,1,1.0,,,,
64,古宇飞 冯留建 | 舆论与史实视野下《盛京时报》中的中共抗日,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488881&idx=2&sn=7f519caa360ac9e0aadf61cf5018f244&chksm=97ea0985a09d8093ec16d413b0c11744ef67919971a79a684ce4df2b3b2e633f9e9821a31f82#rd,2022-6-13,0.0,,1.0,0.0,236.0,0.0,2.0,,,,,2,1.0,,,,
65,阚红柳 | 从《顾文彬日记》看晚清琉璃厂书画文玩交易,http://mp.weixin.qq.com/s?__biz=MzIxODM4NTgxOQ==&mid=2247488881&idx=3&sn=03cc0d03c3d11d994e22fa2fb5845250&chksm=97ea0985a09d8093cdc5d083b11e0cdddcadec3834482f548d8b3f8c7a69a55b8412b6cddf0e#rd,2022-6-13,0.0,,1.0,0.0,123.0,0.0,0.0,,,,,3,1.0,,,,
